ANT	3.55	8.60	180.00	PRO-OB-440	PRO-OB-440_1
BATTERY1	5.20	31.60	90.00		JST-2-SMD
C1	10.23	5.06	0.00	4.7pF	C0603
C11	18.45	22.25	90.00	22uF	C0603
C13	11.15	24.45	270.00	10pF	C0603
C14	8.80	14.10	0.00	0.1uF	C0603
C15	8.82	12.61	0.00	0.1uF	C0603
C16	10.25	26.75	180.00	10uF	C0603
C18	9.55	21.50	90.00	10pF	C0603
C2	7.80	4.30	90.00	4.7pF	C0603
C24	10.80	19.20	180.00	10uF	C0603
C29	20.00	25.20	270.00	22uF	C0603
C3	11.00	7.40	90.00	0.1uF	C0603
C31	18.45	19.30	270.00	33pF	C0603
C33	16.20	18.60	0.00	10pF	C0603
C38	20.90	9.85	90.00	10uF	C0603
C39	43.30	20.00	90.00	10uF	C0603
C40	44.70	20.00	270.00	0.1uF	C0603
C8	22.25	9.85	90.00	10uF	C0603
D1	0.80	24.85	90.00	MF-LED-0603-RED	LED0603
D4	72.44	4.08	180.00	MF-LED-3228-RGB	PLCC4
ESP32-PICO-D4	16.30	7.40	180.00	ESP32-PICO-D4	PQFN50P700X700X104-49N
J1	2.83	31.65	270.00	MF-CON-MICROUSB-RIGHT	MICROUSB-RIGHT
L1	10.26	3.40	0.00	30Ω/1.8A	L0603
R1	11.00	10.40	90.00	10k	R0603
R12	8.70	6.55	180.00	10k	R0603
R13	8.70	8.05	180.00	10k	R0603
R14	8.70	9.55	180.00	10k	R0603
R2	22.18	17.04	0.00	10k	R0603
R21	2.50	24.95	270.00	1K	R0603
R22	9.55	24.45	90.00	220K	R0603
R24	11.15	21.50	270.00	220K	R0603
R26	20.00	19.30	270.00	680K	R0603
R28	19.20	17.05	180.00	121K	R0603
R29	16.20	17.05	0.00	15K	R0603
R30	18.20	14.20	270.00	10k	R0603
R31	15.45	14.15	270.00	10k	R0603
R33	56.30	38.35	270.00	10k	R0603
R36	20.90	12.90	270.00	10k	R0603
R40	48.32	3.62	180.00	1k	R0603
R41	48.32	0.82	180.00	1k	R0603
R42	48.30	2.22	180.00	1k	R0603
R43	8.72	11.10	180.00	10k	R0603
R45	37.50	12.25	0.00	100K	R0603
R8	18.45	25.20	270.00	3K	R0603
R9	20.00	22.25	90.00	560K	R0603
S1	53.00	1.25	0.00	B3U-3000P	SW_B3U-3000P
S2	53.00	38.75	180.00	B3U-3000P	SW_B3U-3000P
S3	25.00	38.75	180.00	B3U-3000P	SW_B3U-3000P
S4	39.00	38.75	180.00	B3U-3000P	SW_B3U-3000P
U1	15.00	23.00	0.00	 LTC3586EUFE-1#PBF	QFN40P600X400X80-39N
U2	12.20	29.40	180.00	MAX17260SETD+	SON40P300X300X80-15N
VREG_MODE	22.05	21.75	90.00	VREG MODE	SJ_2
